Store,Date,Day,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment 
1,05-02-2010,Friday,1643690.9,0,42.31,2.572,211.0963582,8.106
2,12-02-2010,Friday,1641957.44,1,38.51,2.548,211.2421698,8.106
3,19-02-2010,Friday,1611968.17,0,39.93,2.514,211.2891429,8.106
4,26-02-2010,Friday,1409727.59,0,46.63,2.561,211.3196429,8.106
5,05-03-2010,Friday,1554806.68,0,46.5,2.625,211.3501429,8.106
6,12-03-2010,Friday,1439541.59,0,57.79,2.667,211.3806429,8.106
7,19-03-2010,Friday,1472515.79,0,54.58,2.72,211.215635,8.106
8,26-03-2010,Friday,1404429.92,0,51.45,2.732,211.0180424,8.106
9,02-04-2010,Friday,1594968.28,0,62.27,2.719,210.8204499,7.808
10,09-04-2010,Friday,1545418.53,0,65.86,2.77,210.6228574,7.808
11,16-04-2010,Friday,1466058.28,0,66.32,2.808,210.4887,7.808
12,23-04-2010,Friday,1391256.12,0,64.84,2.795,210.4391228,7.808
13,30-04-2010,Friday,1425100.71,0,67.41,2.78,210.3895456,7.808
14,07-05-2010,Friday,1603955.12,0,72.55,2.835,210.3399684,7.808
15,14-05-2010,Friday,1494251.5,0,74.78,2.854,210.3374261,7.808
16,21-05-2010,Friday,1399662.07,0,76.44,2.826,210.6170934,7.808
17,28-05-2010,Friday,1432069.95,0,80.44,2.759,210.8967606,7.808
18,04-06-2010,Friday,1615524.71,0,80.69,2.705,211.1764278,7.808
19,11-06-2010,Friday,1542561.09,0,80.43,2.668,211.4560951,7.808
20,18-06-2010,Friday,1503284.06,0,84.11,2.637,211.4537719,7.808
21,25-06-2010,Friday,1422711.6,0,84.34,2.653,211.3386526,7.808
22,02-07-2010,Friday,1492418.14,0,80.91,2.669,211.2235333,7.787
23,09-07-2010,Friday,1546074.18,0,80.48,2.642,211.108414,7.787
24,16-07-2010,Friday,1448938.92,0,83.15,2.623,211.1003854,7.787
25,23-07-2010,Friday,1385065.2,0,83.36,2.608,211.2351443,7.787
26,30-07-2010,Friday,1371986.6,0,81.84,2.64,211.3699032,7.787
27,06-08-2010,Friday,1605491.78,0,87.16,2.627,211.5046621,7.787
28,13-08-2010,Friday,1508237.76,0,87,2.692,211.6394211,7.787
29,20-08-2010,Friday,1513080.49,0,86.65,2.664,211.6033633,7.787
